,property_name,property_id,breadcrumbs,amount,image_url,description,seller_name,location,property_type,bathrooms,bedrooms
10,3bhk semi furnished flat for rent at Thondayad bypass,1639833782,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', '3bhk semi furnished flat for rent at Thondayad bypass']","₹ 30,000",https://apollo.olx.in:443/v1/files/uwb7fkfuaahx2-IN/image;s=850x0,"Flat for rent at Landmark World 3bhk semi furnished flat Thondayad. 1700 Sq ft with Luxury    amenities for the comfort residents .It is close to the Nesto supermarket,mall, Education institutions and Hospitals.",FAISAL,"Thondayad, Kozhikode, Kerala",Apartments,3,3
11,2bhk semi furnished flat for rent at Calicut,1637175333,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', '2bhk semi furnished flat for rent at Calicut']","₹ 25,000",https://apollo.olx.in:443/v1/files/3xme8hn2h3oz1-IN/image;s=850x0,2bhk semi furnished flat for rent at Calicut,FAISAL,"Thondayad, Kozhikode, Kerala",Apartments,3,3
12,2bhk fully furnished flat for at Calicut,1635785020,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', '2bhk fully furnished flat for at Calicut']","₹ 35,000",https://apollo.olx.in:443/v1/files/dfsawvl3uh0b-IN/image;s=850x0,Near Cyber park,FAISAL,"Thondayad, Kozhikode, Kerala",Apartments,2,2
13,2bhk apartment,1769845776,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Eranjipalam', '2bhk apartment']","₹ 13,000",https://apollo.olx.in:443/v1/files/yvsmuf9juuxb2-IN/image;s=850x0,ചെറിയ rentil അപർട്മെന്റ് നോക്കുന്നവർക്കു വേണ്ടി,Property hunt,"Eranjipalam, Kozhikode, Kerala",Apartments,2,2
14,House rent,1775862407,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Delma', 'House rent']","₹ 13,000",https://apollo.olx.in:443/v1/files/rd2hg7sjxxxc3-IN/image;s=850x0,13000.rent,Suma Prakash,"Delma, Kozhikode, Kerala",Houses & Villas,2,2
15,Play school  ന് അനുയോജ്യം,1769848351,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Kovoor', 'Play school  ന് അനുയോജ്യം']","₹ 30,000",https://apollo.olx.in:443/v1/files/ucrlhttrpvcj-IN/image;s=850x0,"4 ബെഡ്റൂം attached,  കിണർവെള്ളം",Property hunt,"Kovoor, Kozhikode, Kerala",Houses & Villas,4,4
16,2 Bhk Semifurnished Flat For Rent At Jawaharnagar,1764754603,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Ashokapuram', '2 Bhk Semifurnished Flat For Rent At Jawaharnagar']","₹ 23,000",https://apollo.olx.in:443/v1/files/ukpze91ts2er-IN/image;s=850x0,"2 Bhk Spacious Semifurnished Flat For Rent At Jawaharnagar, Calicut ",Endless properties,"Ashokapuram, Kozhikode, Kerala",Apartments,2,2
17,2 bhk fully furnished flat for rent at Eranjipalam,1764249747,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Eranjipalam', '2 bhk fully furnished flat for rent at Eranjipalam']","₹ 23,500",https://apollo.olx.in:443/v1/files/lsuph41z4yen-IN/image;s=850x0,2BHK fully furnished flat for Sale at Eranjipalam ,Endless properties,"Eranjipalam, Kozhikode, Kerala",Apartments,2,2
18,3 Bhk Semifurnished Flat For Rent At Eranjipalam,1764544640,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Eranjipalam', '3 Bhk Semifurnished Flat For Rent At Eranjipalam']","₹ 30,000",https://apollo.olx.in:443/v1/files/zallrqpezwmu-IN/image;s=850x0,"3 Bhk Semifurnished Flat For Rent At Eranjipalam, Calicut ",Endless properties,"Eranjipalam, Kozhikode, Kerala",Apartments,3,2
19,2 Bhk Furnished Flat For Rent At Eranjipalam.,1764759546,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Eranjipalam', '2 Bhk Furnished Flat For Rent At Eranjipalam.']","₹ 30,000",https://apollo.olx.in:443/v1/files/mvz023osy1mo-IN/image;s=850x0,2 Bhk Spacious Furnished Flat For Rent At Eranjipalam.,Endless properties,"Eranjipalam, Kozhikode, Kerala",Apartments,2,2
